date,insta_handle,likes,likes_nan,momentum_absolute,momentum_relative,date_string,percentile_rma,percentile_relmomentum
2021-12-30 00:00:00+00:00,jordan_poole,,,,,2021-12-30 ,,
2021-12-31 00:00:00+00:00,jordan_poole,,,,,2021-12-31 ,,
2022-01-01 00:00:00+00:00,jordan_poole,,,,,2022-01-01 ,,
2022-01-02 00:00:00+00:00,jordan_poole,,,,,2022-01-02 ,,
2022-01-03 00:00:00+00:00,jordan_poole,,,,,2022-01-03 ,,
2022-01-04 00:00:00+00:00,jordan_poole,,,,,2022-01-04 ,,
2022-01-05 00:00:00+00:00,jordan_poole,,,,,2022-01-05 ,,
2022-01-06 00:00:00+00:00,jordan_poole,,,,,2022-01-06 ,,
2022-01-07 00:00:00+00:00,jordan_poole,,,,,2022-01-07 ,,
2022-01-08 00:00:00+00:00,jordan_poole,,,,,2022-01-08 ,,
2022-01-09 00:00:00+00:00,jordan_poole,,,,,2022-01-09 ,,
2022-01-10 00:00:00+00:00,jordan_poole,,,,,2022-01-10 ,,
2022-01-11 00:00:00+00:00,jordan_poole,,,,,2022-01-11 ,,
2022-01-12 00:00:00+00:00,jordan_poole,,,,,2022-01-12 ,,
2022-01-13 00:00:00+00:00,jordan_poole,,,,,2022-01-13 ,,
2022-01-14 00:00:00+00:00,jordan_poole,,,,,2022-01-14 ,,
2022-01-15 00:00:00+00:00,jordan_poole,,,,,2022-01-15 ,,
2022-01-16 00:00:00+00:00,jordan_poole,,,,,2022-01-16 ,,
2022-01-17 00:00:00+00:00,jordan_poole,,,,,2022-01-17 ,,
2022-01-18 00:00:00+00:00,jordan_poole,,,,,2022-01-18 ,,
2022-01-19 00:00:00+00:00,jordan_poole,5106.477777777778,114895.75,,,2022-01-19 ,9.141143037574992,
2022-01-20 00:00:00+00:00,jordan_poole,3855.133333333333,115654.0,,,2022-01-20 ,9.362172402904957,
2022-01-21 00:00:00+00:00,jordan_poole,3855.133333333333,115654.0,,,2022-01-21 ,9.362172402904957,
2022-01-22 00:00:00+00:00,jordan_poole,2666.633333333333,119998.5,,,2022-01-22 ,9.98315966740343,
2022-01-23 00:00:00+00:00,jordan_poole,2666.633333333333,119998.5,,,2022-01-23 ,9.98315966740343,
2022-01-24 00:00:00+00:00,jordan_poole,2666.633333333333,119998.5,,,2022-01-24 ,9.98315966740343,
2022-01-25 00:00:00+00:00,jordan_poole,2666.633333333333,119998.5,,,2022-01-25 ,9.98315966740343,
2022-01-26 00:00:00+00:00,jordan_poole,2666.633333333333,119998.5,,,2022-01-26 ,9.98315966740343,
2022-01-27 00:00:00+00:00,jordan_poole,2666.633333333333,119998.5,,,2022-01-27 ,9.98315966740343,
2022-01-28 00:00:00+00:00,jordan_poole,2666.633333333333,119998.5,,,2022-01-28 ,9.98315966740343,
2022-01-29 00:00:00+00:00,jordan_poole,3458.988888888889,103769.66666666667,,,2022-01-29 ,7.846542469213767,
2022-01-30 00:00:00+00:00,jordan_poole,3458.988888888889,103769.66666666667,,,2022-01-30 ,7.846542469213767,
2022-01-31 00:00:00+00:00,jordan_poole,3458.988888888889,103769.66666666667,,,2022-01-31 ,7.846542469213767,
2022-02-01 00:00:00+00:00,jordan_poole,3458.988888888889,103769.66666666667,,,2022-02-01 ,7.846542469213767,
2022-02-02 00:00:00+00:00,jordan_poole,3458.988888888889,103769.66666666667,,,2022-02-02 ,7.846542469213767,
2022-02-03 00:00:00+00:00,jordan_poole,3458.988888888889,103769.66666666667,,,2022-02-03 ,7.846542469213767,
2022-02-04 00:00:00+00:00,jordan_poole,3458.988888888889,103769.66666666667,,,2022-02-04 ,7.846542469213767,
2022-02-05 00:00:00+00:00,jordan_poole,3458.988888888889,103769.66666666667,,,2022-02-05 ,7.846542469213767,
2022-02-06 00:00:00+00:00,jordan_poole,3458.988888888889,103769.66666666667,,,2022-02-06 ,7.846542469213767,
2022-02-07 00:00:00+00:00,jordan_poole,3458.988888888889,103769.66666666667,,,2022-02-07 ,7.846542469213767,
2022-02-08 00:00:00+00:00,jordan_poole,4538.622222222222,102119.0,,,2022-02-08 ,7.2676560362067155,
2022-02-09 00:00:00+00:00,jordan_poole,4538.622222222222,102119.0,,,2022-02-09 ,7.2676560362067155,
2022-02-10 00:00:00+00:00,jordan_poole,4538.622222222222,102119.0,,,2022-02-10 ,7.2676560362067155,
2022-02-11 00:00:00+00:00,jordan_poole,4538.622222222222,102119.0,,,2022-02-11 ,7.2676560362067155,
2022-02-12 00:00:00+00:00,jordan_poole,4538.622222222222,102119.0,,,2022-02-12 ,7.2676560362067155,
2022-02-13 00:00:00+00:00,jordan_poole,4538.622222222222,102119.0,,,2022-02-13 ,7.2676560362067155,
2022-02-14 00:00:00+00:00,jordan_poole,4538.622222222222,102119.0,,,2022-02-14 ,7.2676560362067155,
2022-02-15 00:00:00+00:00,jordan_poole,4538.622222222222,102119.0,,,2022-02-15 ,7.2676560362067155,
2022-02-16 00:00:00+00:00,jordan_poole,4538.622222222222,102119.0,,,2022-02-16 ,7.2676560362067155,
